subjects,isSpeed,jitter,abs_error,R,rt
1,1,45,0.47986,-0.47986,0.69721
1,1,45,1.69194,1.69194,0.71795
1,1,30,0.66476,-0.66476,0.64744
1,1,30,0.63506,0.63506,0.70007
1,1,30,0.072478,0.072478,1.159
1,1,45,0.08596,-0.08596,0.59898
1,1,30,0.055834,-0.055834,0.551
1,1,30,0.22496,0.22496,0.59041
1,1,45,0.99732,-0.99732,0.66874
1,1,45,0.38678,-0.38678,0.70571
1,1,30,0.2917,-0.2917,0.84507
1,1,15,0.108528,-0.108528,0.62133
1,1,30,0.49708,0.49708,0.61772
1,1,15,0.13082,0.13082,0.64269
1,1,45,0.51774,-0.51774,0.69533
1,1,45,0.0111954,0.0111954,0.59396
1,1,45,0.170254,-0.170254,0.9648
1,1,30,0.43366,-0.43366,0.59521
1,1,30,0.5863,-0.5863,0.6596
1,1,45,0.98888,-0.98888,0.68697
1,1,15,0.196838,0.196838,0.61598
1,1,15,0.24652,0.24652,0.62123
1,1,15,0.4994,0.4994,0.67714
1,1,30,0.128366,-0.128366,0.68298
1,1,30,0.60288,0.60288,0.64858
1,1,30,0.4102,0.4102,0.61105
1,1,45,2.514,2.514,0.68594
1,1,45,1.42748,-1.42748,0.67104
1,1,15,0.30688,0.30688,1.6939
1,1,15,0.23526,0.23526,0.65686
1,1,15,0.38684,0.38684,0.61203
1,1,45,0.79036,0.79036,0.70322
1,1,30,0.034574,-0.034574,0.6509
1,1,45,0.62794,-0.62794,0.81247
1,1,30,0.35,-0.35,0.74196
1,1,15,0.73672,-0.73672,0.98415
1,1,45,0.36742,-0.36742,0.72005
1,1,45,1.78278,-1.78278,0.8325
1,1,30,0.047466,-0.047466,0.8074
1,1,15,0.13721,0.13721,0.61033
1,1,15,0.25126,-0.25126,0.6539
1,1,30,0.2011,0.2011,0.65494
1,1,45,1.75222,-1.75222,0.70521
1,1,45,0.41674,-0.41674,0.62097
1,1,15,0.091408,-0.091408,1.1673
1,1,30,0.08699,-0.08699,0.57875
1,1,15,0.27088,-0.27088,0.74796
1,1,15,0.62174,-0.62174,0.60724
1,1,30,0.52334,0.52334,0.68859
1,1,45,0.32408,-0.32408,0.65126
1,1,15,0.23354,0.23354,0.70989
1,1,15,0.30158,0.30158,0.6287
1,1,30,0.120806,0.120806,0.66007
1,1,45,0.51612,-0.51612,1.1117
1,1,30,1.77856,1.77856,0.64576
1,1,45,0.37472,0.37472,0.74223
1,1,30,0.31982,0.31982,0.57084
1,1,30,0.06335,-0.06335,0.59905
1,1,45,1.9402,1.9402,0.65777
1,1,45,1.6628,-1.6628,0.71388
1,1,15,0.24508,-0.24508,0.56182
1,1,30,0.77948,0.77948,0.62703
1,1,15,0.162872,-0.162872,0.55352
1,1,45,1.26112,-1.26112,0.52779
1,1,15,0.34116,-0.34116,0.61705
1,1,30,0.6761,0.6761,0.54575
1,1,15,0.0072214,0.0072214,0.62472
1,1,30,0.80028,0.80028,0.61972
1,1,15,0.27464,-0.27464,0.63209
1,1,30,0.37248,0.37248,0.62446
1,1,45,1.08324,-1.08324,0.64618
1,1,15,0.8005,-0.8005,0.56181
1,1,30,0.174872,-0.174872,0.56355
1,1,45,0.14117,0.14117,0.78563
1,1,45,0.21166,0.21166,0.68215
1,1,45,0.0029268,-0.0029268,0.61284
1,0,30,1.22362,1.22362,0.65704
1,0,30,0.0724,0.0724,0.77872
1,0,15,0.22264,-0.22264,0.77885
1,0,15,0.17223,0.17223,0.72494
1,0,15,0.48912,0.48912,0.56104
1,0,15,0.128938,-0.128938,0.59311
1,0,30,0.5636,0.5636,0.64573
1,0,30,0.7177,-0.7177,0.62444
1,0,15,0.21674,0.21674,0.66197
1,0,45,0.79278,0.79278,0.80336
1,0,45,1.02834,1.02834,1.1704
1,0,30,0.114044,0.114044,0.97221
1,0,45,0.47038,0.47038,1.0094
1,0,45,0.26196,0.26196,0.79516
1,0,30,0.30412,0.30412,0.88973
1,0,15,0.29252,-0.29252,0.77991
1,0,30,1.47932,1.47932,0.74198
1,0,30,0.0185912,0.0185912,0.86054
1,0,45,0.19835,0.19835,0.76743
1,0,30,0.21924,-0.21924,0.68585
1,0,15,0.022732,0.022732,0.75693
1,0,45,1.76562,-1.76562,1.1684
1,0,45,0.40636,-0.40636,1.1454
1,0,15,0.061258,0.061258,0.78725
1,0,15,0.060794,-0.060794,0.81834
1,0,15,0.0031748,-0.0031748,0.72318
1,0,45,1.32146,1.32146,0.74184
1,0,45,0.33326,0.33326,1.3769
1,0,30,0.71768,0.71768,0.89385
1,0,45,0.37814,-0.37814,1.1293
1,0,45,0.32892,-0.32892,0.73035
1,0,45,2.384,-2.384,0.69706
1,0,30,0.199696,0.199696,0.61814
1,0,15,0.403,-0.403,0.69019
1,0,15,0.23038,-0.23038,0.60987
1,0,15,0.2165,-0.2165,0.58535
1,0,15,0.2476,0.2476,0.603
1,0,30,0.113862,-0.113862,0.66816
1,0,30,0.068328,-0.068328,0.67244
1,0,15,0.20544,-0.20544,0.69294
1,0,30,0.51418,-0.51418,1.1204
1,0,30,0.059694,0.059694,0.76298
1,0,45,1.34336,1.34336,0.68911
1,0,15,0.010116,0.010116,0.67665
1,0,15,0.030948,-0.030948,1.5376
1,0,45,0.52386,-0.52386,0.95004
1,0,15,0.170818,0.170818,0.8116
1,0,30,0.77588,-0.77588,1.1393
1,0,30,0.99654,-0.99654,0.80071
1,0,15,0.4593,0.4593,0.76508
1,0,45,0.9723,0.9723,1.2153
1,0,45,0.158852,-0.158852,0.81058
1,0,45,0.5212,-0.5212,0.74917
1,0,45,0.47432,0.47432,0.87274
1,0,30,0.81922,-0.81922,0.71462
1,0,45,0.33124,0.33124,0.78127
1,0,15,0.080006,-0.080006,0.72846
1,0,45,0.70512,0.70512,0.71398
1,0,30,0.130618,0.130618,0.61764
1,0,30,0.099612,-0.099612,0.69118
1,0,15,0.61016,0.61016,0.60764
1,0,45,2.127,2.127,0.57146
1,0,30,0.22582,-0.22582,1.0695
1,0,30,0.197088,0.197088,0.7176
1,0,15,0.186192,-0.186192,1.4253
1,0,45,0.55792,-0.55792,0.79196
1,0,15,0.2159,0.2159,0.72655
1,0,45,0.124452,0.124452,0.776
1,0,30,0.26624,0.26624,1.5062
1,0,45,0.163368,0.163368,1.23
1,0,45,1.05678,-1.05678,1.1912
1,0,45,0.26992,-0.26992,0.93058
1,0,45,0.85128,-0.85128,0.90297
1,0,15,0.152842,0.152842,0.80631
1,0,30,0.4632,0.4632,0.91097
1,0,30,0.33082,-0.33082,0.84392
1,0,45,0.85004,0.85004,0.90802
1,0,30,0.44852,0.44852,0.65443
1,0,15,0.24548,0.24548,0.59905
1,0,30,0.123362,-0.123362,1.9197
1,0,45,0.63676,-0.63676,0.93119
1,0,15,0.33126,0.33126,0.81591
1,0,15,0.30094,0.30094,0.81523
1,0,15,0.20886,0.20886,0.83107
1,0,30,0.129178,0.129178,0.82584
1,0,15,0.127326,-0.127326,0.65887
1,0,30,1.46722,-1.46722,0.85701
1,0,30,0.060818,0.060818,0.805
1,0,15,0.177884,-0.177884,0.71541
1,0,45,0.41926,0.41926,0.88628
1,0,45,0.59492,0.59492,0.76033
1,0,30,0.2853,-0.2853,0.7806
1,0,15,0.060428,-0.060428,0.76365
