subjects,block_number,trial_number,stim_mean,stim_sd,estimation,abs_estimation_error,rt,R
1,4,25,80,16,44.63627702901816,35.36372297098184,1.993,1.0016357142711592
1,4,26,100,30,66.61124166212439,33.388758337875615,2.47,1.494752767515888
1,4,27,100,20,70.0000000000046,29.999999999995396,3.165,1.5707963267949998
1,4,28,40,8,51.75783625943797,11.75783625943798,6.518,1.1614431297025267
1,4,29,80,24,40.804328899536806,39.195671100463194,2.99,0.915646999324618
1,4,30,60,12,64.30168370876201,4.301683708762013,2.039,1.4429264082350088
1,4,31,80,24,53.80882830314239,26.19117169685761,1.738,1.2074672835387619
1,4,32,40,12,41.01878517889622,1.0187851788962234,1.886,0.9204593869799876
1,4,33,100,10,80.45556373309422,19.54443626690579,2.787,1.80541862831653
1,4,34,60,18,74.66307862539634,14.663078625396336,2.754,1.6754355664567304
1,4,35,80,16,74.97897263123184,5.021027368768159,4.636,1.6825242113713437
1,4,36,80,24,81.11469728586209,1.1146972858620927,3.037,1.8202095506530307
1,4,38,60,6,65.61779260107471,5.617792601074712,2.704,1.4724598227165357
1,4,39,80,8,77.66457572245494,2.335424277545058,2.708,1.7427890038130902
1,4,40,60,6,76.38143814900207,16.381438149002065,1.644,1.713995463996629
1,4,41,100,20,88.97733905213957,11.02266094786043,1.387,1.9966468193012135
1,4,42,40,8,67.1420559282484,27.1420559282484,3.537,1.5066642117935727
1,4,43,80,8,82.75966631173054,2.759666311730556,3.325,1.857122569274824
1,4,44,60,12,84.73033664685701,24.73033664685701,2.52,1.9013443081854
1,4,45,60,18,89.90486401890534,29.90486401890536,4.69,2.0174604308841597
1,4,46,100,20,103.44247423080373,3.442474230803725,1.559,2.321243693661746
1,4,47,100,10,101.18090793877164,1.180907938771668,1.713,2.270494264742787
